patients,available_beds,TARGET_risk,TARGET_summary,TARGET_actions
239,23,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
298,59,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
240,45,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
162,18,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
202,67,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
105,89,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
210,41,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
215,31,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
166,38,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
183,35,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
107,96,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
93,35,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
222,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
209,72,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
222,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
110,96,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
96,69,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
198,40,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
129,67,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
167,12,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
262,48,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
252,59,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
278,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
213,59,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
276,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
196,43,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
69,26,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
234,31,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
195,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
96,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
282,71,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
98,49,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
63,66,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
192,43,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
208,57,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
50,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
166,85,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
103,69,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
167,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
52,86,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
193,43,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
264,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
234,80,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
252,34,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
61,97,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
123,86,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
273,29,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
65,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
249,21,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
151,43,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
253,57,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
201,35,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
205,68,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
166,76,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
57,92,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
171,30,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
141,46,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
213,54,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
139,79,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
185,61,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
235,29,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
109,54,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
227,15,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
77,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
269,16,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
150,15,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
90,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
277,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
241,83,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
204,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
295,15,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
240,29,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
194,22,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
250,91,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
210,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
294,83,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
261,64,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
254,29,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
269,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
289,83,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
206,69,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
190,21,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
95,81,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
84,71,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
183,31,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
131,32,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
164,15,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
246,75,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
96,37,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
202,97,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
243,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
59,35,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
105,96,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
79,22,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
291,65,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
158,84,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
54,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
168,90,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
297,72,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
82,64,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
167,74,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
114,66,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
195,51,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
273,61,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
288,22,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
226,25,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
60,67,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
134,81,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
75,54,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
112,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
266,34,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
135,21,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
108,42,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
76,14,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
226,85,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
254,59,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
210,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
147,48,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
154,41,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
148,37,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
178,81,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
198,44,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
289,34,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
104,29,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
55,87,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
269,29,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
258,77,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
246,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
144,66,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
182,79,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
151,6,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
52,51,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
230,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
72,72,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
278,14,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
102,20,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
214,34,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
251,65,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
251,90,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
132,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
194,34,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
134,81,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
127,77,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
250,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
159,81,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
50,9,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
100,24,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
222,65,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
254,24,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
53,53,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
239,32,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
242,35,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
162,94,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
281,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
81,64,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
83,79,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
141,53,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
144,51,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
121,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
88,98,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
203,40,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
299,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
211,24,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
231,12,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
167,97,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
52,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
172,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
99,97,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
61,67,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
242,24,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
103,78,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
285,67,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
182,44,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
271,59,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
271,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
106,31,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
194,95,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
161,91,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
96,12,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
200,30,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
256,77,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
278,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
134,17,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
191,92,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
115,59,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
124,62,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
228,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
152,31,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
215,92,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
241,42,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
275,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
87,59,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
99,22,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
147,82,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
131,30,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
79,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
128,82,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
140,33,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
228,9,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
240,88,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
275,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
101,10,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
298,49,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
215,30,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
274,55,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
265,78,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
128,72,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
79,86,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
296,82,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
155,8,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
100,98,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
130,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
182,72,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
78,27,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
181,61,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
187,6,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
233,79,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
194,15,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
123,96,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
66,3,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
133,3,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
265,39,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
118,16,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
83,51,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
55,92,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
102,51,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
243,35,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
254,37,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
175,49,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
284,62,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
92,62,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
289,61,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
252,98,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
164,6,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
160,26,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
298,91,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
200,85,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
232,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
129,70,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
144,85,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
252,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
167,54,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
193,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
57,61,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
181,90,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
153,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
181,78,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
233,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
74,9,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
244,86,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
145,57,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
244,38,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
204,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
142,64,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
